"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"2 menit",49,"2 menit",20,"2 menit","082198880051","11","1103",2021-08-17 20:54:30,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",16,"53 menit",45,"53 menit",26,"53 menit","085372458720","11","1114",2021-08-17 20:54:31,"Non COVID-19"
"3","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",26,NA,33,NA,29,NA,"081261466699","13","1307",2021-08-17 20:54:33,"Non COVID-19"
"4","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",21,"36 jam",10,"36 jam",41,"36 jam","081260809667","12","1208",2021-08-17 20:54:34,"Non COVID-19"
"5","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran",3,"36 jam",0,"36 jam",0,"36 jam","hotline tidak tersedia","12","1208",2021-08-17 20:54:34,"Non COVID-19"
"6","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",7,NA,8,NA,16,NA,"082398963833","12","1208",2021-08-17 20:54:34,"Non COVID-19"
"7","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-08-17 20:54:35,"Non COVID-19"
"8","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan",4,NA,2,NA,3,NA,"0361703270","51","5103",2021-08-17 20:54:35,"Non COVID-19"
"9","RS Umum Daerah Balangan ","Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan ",8,"16 jam",10,"15 jam",25,"15 jam","05262094039","63","6311",2021-08-17 20:54:35,"Non COVID-19"
"10","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",2,NA,13,NA,13,NA,"02287799430","32","3204",2021-08-17 20:54:36,"Non COVID-19"
"11","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang",9,"14 jam",34,"14 jam",31,"14 jam","0225891355","32","3204",2021-08-17 20:54:36,"Non COVID-19"
