"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"4 menit",49,"4 menit",20,"4 menit","082198880051","11","1103",2021-07-12 18:50:59,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",28,"50 menit",31,"49 menit",7,"49 menit","085372458720","11","1114",2021-07-12 18:51:00,"Non COVID-19"
"3","RS Umum Daerah dr. Zubir Mahmud","Jl. Medan-Banda Aceh Km. 372 Desa Seuneubok Barat Kec.Idi timur Kab.Aceh timur",0,NA,11,NA,96,NA,"064621139","11","1105",2021-07-12 18:51:00,"Non COVID-19"
"4","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",27,NA,35,NA,27,NA,"081261466699","13","1307",2021-07-12 18:51:00,"Non COVID-19"
"5","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor",5,"8 jam",18,"8 jam",38,"8 jam","082339126402","53","5307",2021-07-12 18:51:01,"Non COVID-19"
"6","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",7,"10 jam",15,"10 jam",24,"10 jam","081260809667","12","1208",2021-07-12 18:51:01,"Non COVID-19"
"7","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran",5,"9 jam",12,"9 jam",12,"9 jam","hotline tidak tersedia","12","1208",2021-07-12 18:51:01,"Non COVID-19"
"8","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",6,NA,12,NA,40,NA,"082398963833","12","1208",2021-07-12 18:51:01,"Non COVID-19"
"9","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"10","RS Daerah Mangusada","Jl. Raya Kapal Mengwi, Badung ",10,"7 jam",16,"7 jam",54,"7 jam","03619006813","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"11","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan",6,NA,4,NA,4,NA,"0361703270","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"12","RS Khusus Bedah BIMC Nusa Dua","Blok D Kawasan BTDC Nusa Dua Kab. Badung",23,NA,NA,NA,8,NA,"03613000911","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"13","RS Umum Siloam Bali","Jl. Sunset Road No. 818 Kel. Kuta, Kec Kuta",12,NA,21,NA,18,NA,"0361779900","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"14","RS Bali Jimbaran","Jl. Kampus Unud No. 52 ",7,NA,1,"7 jam",3,"7 jam","03614725123","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"15","RS Universitas Udayana","Jl. Rumah Sakit Universitas Udayana No. 1, Lingk. Perarudan Kel. Jimbaran Kec. Kuta Selatan",0,NA,0,NA,7,NA,"03618953670","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"16","RS Umum Garba Med","Jl. Raya Kerobokan No. 53 Lingkungan Jambe Kerobokan Kuta Utara",20,NA,15,NA,20,NA,"03619067493","51","5103",2021-07-12 18:51:01,"Non COVID-19"
"17","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",12,"4 menit",23,"4 menit",25,"4 menit","02287799430","32","3204",2021-07-12 18:51:01,"Non COVID-19"
"18","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung",2,"11 jam",3,"11 jam",25,"11 jam","02286011220","32","3204",2021-07-12 18:51:01,"Non COVID-19"
"19","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek",4,"2 menit",5,"2 menit",12,"2 menit","0227798778","32","3204",2021-07-12 18:51:01,"Non COVID-19"
"20","RS Umum Bina Sehat ","Jl. Raya Dayeuhkolot No.325 Bandung",4,NA,0,NA,0,NA,"0225207963","32","3204",2021-07-12 18:51:01,"Non COVID-19"
"21","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622",24,NA,28,NA,35,NA,"0813-1656-0227","32","3204",2021-07-12 18:51:01,"Non COVID-19"
"22","RS Umum Daerah Cililin","Jl. Blok Cinta Karya Desa Cililin Kecamatan Cililin Kabupaten Bandung Barat",3,NA,NA,NA,27,"10 jam","082216236728","32","3217",2021-07-12 18:51:02,"Non COVID-19"
"23","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang",5,"11 jam",NA,NA,46,"11 jam","0222786879","32","3217",2021-07-12 18:51:02,"Non COVID-19"
"24","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah",2,NA,16,NA,12,NA,"0226866221","32","3217",2021-07-12 18:51:02,"Non COVID-19"
"25","RS Ibu dan Anak Kartini","Jl. Letkol GA Manulang No. 46 Padalarang Bandung Barat",4,NA,3,NA,5,NA,"hotline tidak tersedia","32","3217",2021-07-12 18:51:02,"Non COVID-19"
"26","RS Ibu dan Anak Graha Medika Padalarang","Jl. Raya Padalarang Ruko Padalarang Point No. 527 ",0,NA,5,NA,9,NA,"02287785998","32","3217",2021-07-12 18:51:02,"Non COVID-19"
"27","RS Jiwa Provinsi Jawa Barat","Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat",0,"15 jam",20,"15 jam",57,"15 jam","0222700909","32","3217",2021-07-12 18:51:02,"Non COVID-19"
"28","RS Umum Cahya Kawaluyan","Jl. Parahyangan KM. 3 - Kota Baru Parahyangan Kec. Padalarang KBB",6,NA,13,NA,32,NA,"0226803700","32","3217",2021-07-12 18:51:02,"Non COVID-19"
"29","RS Umum Daerah Kabupaten Banggai ","Jl. Imam Bonjol KM 3 No. 14 Luwuk",26,"11 jam",19,"11 jam",64,"12 jam","046121820","72","7202",2021-07-12 18:51:02,"Non COVID-19"
"30","RS Umum Daerah Banggai","Jl. KM 7.Adean Kabupaten Banggai Laut",10,NA,22,NA,27,NA,"085394566701","72","7211",2021-07-12 18:51:02,"Non COVID-19"
"31","RS Umum Daerah Depati Bahrin","Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung",10,"kurang dari 1 menit",12,"kurang dari 1 menit",20,"kurang dari 1 menit","071792489","19","1901",2021-07-12 18:51:02,"Non COVID-19"
"32","RS Umum Daerah Kab.Bangka Tengah","Jl. By Pass No 01 Kec.Koba,Kab. Bangka Tengah",20,"7 jam",17,"7 jam",33,"7 jam","085383884511","19","1904",2021-07-12 18:51:03,"Non COVID-19"
"33","RS Umum Daerah Kabupaten Bangli"," Jl. Brigjen Ngurah Rai No. 99X Bangli",5,"11 jam",16,NA,34,NA,"036691521","51","5106",2021-07-12 18:51:03,"Non COVID-19"
"34","RS Jiwa Provinsi Bali","Jl.Kusuma Yudha No. 29 Bangli",3,NA,21,NA,108,NA,"036691073","51","5106",2021-07-12 18:51:03,"Non COVID-19"
"35","RS Umum Daerah Ratu Zalecha","Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan",30,NA,44,NA,51,NA,"05114789455","63","6303",2021-07-12 18:51:03,"Non COVID-19"
"36","RS Umum Emmanuel","Jl. Raya Purwareja Klampok - Banjarnegara",18,NA,10,NA,49,NA,"(0286) 479030","33","3304",2021-07-12 18:51:04,"Non COVID-19"
"37","RS Umum Islam Banjarnegara","Jl Raya Bawang KM 9 Banjarnegara",6,"5 menit",6,"5 menit",32,"5 menit","02865988848","33","3304",2021-07-12 18:51:04,"Non COVID-19"
"38","RS Umum Daerah Prof. Dr. H. Anwar Makkatutu","Jl. Teratai No. 20 Kel. Pallantikang, Kec. Bantaeng",4,NA,12,NA,48,NA,"hotline tidak tersedia","73","7303",2021-07-12 18:51:04,"Non COVID-19"
"39","RS Umum Daerah Panembahan Senopati","Jl Dr. Wahidin Sudiro Husodo Bantul",5,NA,25,NA,97,NA,"hotline tidak tersedia","34","3402",2021-07-12 18:51:04,"Non COVID-19"
"40","RS Umum Santa Elisabeth","Ganjuran Sumbermulyo Bambanglipuro",4,NA,3,NA,NA,NA,"02746460400","34","3402",2021-07-12 18:51:04,"Non COVID-19"
"41","RS Ibu Anak Ummi Khasanah","Jl Pemuda Ds Gandekan Bantul",0,"50 menit",0,"50 menit",7,"50 menit","0274367638","34","3402",2021-07-12 18:51:04,"Non COVID-19"
"42","RS Umum Nur Hidayah","Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul",2,"49 menit",1,"49 menit",21,"49 menit","085100472941","34","3402",2021-07-12 18:51:04,"Non COVID-19"
"43","RS Umum Griya Mahardika Yogyakarta","jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta",1,"19 jam",NA,NA,2,"4 jam","0274445024","34","3402",2021-07-12 18:51:04,"Non COVID-19"
"44","RSPAU Dr.  Suhardi Harjolukito","         Jl. Raya Janti Blok O Yogyakarta",23,"9 jam",0,"9 jam",0,"9 jam","0274444702","34","3402",2021-07-12 18:51:04,"Non COVID-19"
"45","RS Umum Daerah Pratama Sukajadi","Jl. Palembang Betung Km. 14.5 Kel. Tanah Mas Kec. Talang kelapa.",NA,NA,NA,NA,6,NA,"hotline tidak tersedia","16","1607",2021-07-12 18:51:04,"Non COVID-19"
"46","RS Bunda Medika Jakabaring","Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan",16,NA,24,NA,26,NA,"085384532735","16","1607",2021-07-12 18:51:04,"Non COVID-19"
"47","RS Umum Pusat Dr. Rivai Abdullah","Jl. Sungai Kundur Kelurahan Mariana Kec. Banyuasin I ",9,"5 menit",9,"5 menit",45,"5 menit","07117537201","16","1607",2021-07-12 18:51:04,"Non COVID-19"
"48","RS Khusus Bedah Jatiwinangun"," Jl. Jatiwinangun No.54, Purwokerto",5,NA,6,NA,15,NA,"0281632632","33","3302",2021-07-12 18:51:04,"Non COVID-19"
"49","RS Ibu dan Anak Amanah","Jl Raya Kebokura No.37 Kec Sumpiuh Kab Banyumas",4,"2 menit",7,"2 menit",0,"2 menit","0282497548","33","3302",2021-07-12 18:51:04,"Non COVID-19"
"50","RS Umum Islam Purwokerto","Jl. H. Masyuri Rejasari No 39 Purwokerto",2,"3 menit",5,"3 menit",9,"3 menit","0281630019","33","3302",2021-07-12 18:51:04,"Non COVID-19"
"51","RS Umum Daerah Ajibarang","    Jl. Raya Pancasan No.1,Ajibarang Banyumas",6,"12 jam",16,"12 jam",39,"12 jam","02816570004","33","3302",2021-07-12 18:51:04,"Non COVID-19"
"52","RS Umum Bhakti Husada","Jl. Krikilan-Glenmore Dusun Krajan, Tegalharjo",2,NA,0,"9 jam",0,NA,"0333821118","35","3510",2021-07-12 18:51:05,"Non COVID-19"
"53","RS Yasmin","Jl. Letkol Istiqlah Nomor 80-84 Banyuwangi",2,"11 jam",1,"11 jam",6,"11 jam","0333424671","35","3510",2021-07-12 18:51:05,"Non COVID-19"
"54","RS Umum PKU Muhammadiyah Rogojampi","Jalan Diponegoro Nomor 20 Rogojampi, Kab. Banyuwangi",5,NA,21,NA,29,NA,"0333631149","35","3510",2021-07-12 18:51:05,"Non COVID-19"
"55","RS Graha Medika","Jl. Raya Yosomulyo, Gambiran, Banyuwangi",2,NA,16,NA,4,NA,"0333848999","35","3510",2021-07-12 18:51:05,"Non COVID-19"
"56","RS Ibu dan Anak Abdhi Famili","Jl. Diponegoro No. 5 Wringinrejo RT 005 / RW 005 Gambiran Banyuwangi",1,"18 jam",4,"17 jam",5,"17 jam","082337503418","35","3510",2021-07-12 18:51:05,"Non COVID-19"
"57","RS Al-Rohmah Banyuwangi","Jl. A. Yani No. 37 Jajag Gambiran, Banyuwangi",5,NA,14,"50 menit",16,NA,"0333397267","35","3510",2021-07-12 18:51:05,"Non COVID-19"
"58","RS Ibu dan Anak Rahayu Medika","Jl. Pekulo-Sukomukti No.09, Kebaman, Srono, Banyuwangi",NA,NA,6,NA,20,NA,"0333911542","35","3510",2021-07-12 18:51:05,"Non COVID-19"
"59","RS Umum Batara Siang","  Jl. Sultan Hasanudin 7 Pangkajene",54,"12 jam",19,"12 jam",27,"12 jam","0811415118","73","7310",2021-07-12 18:51:05,"Non COVID-19"
"60","RS Umum Qim","Jl. Urip Sumoharjo, Sambong",5,NA,3,NA,7,NA,"02854495222","33","3325",2021-07-12 18:51:06,"Non COVID-19"
"61","RS Umum Daerah Limpung","Jl. Dr. Soetomo No. 17A Limpung 51271",0,NA,NA,NA,NA,NA,"02854468362","33","3325",2021-07-12 18:51:06,"Non COVID-19"
"62","RS Umum Annisa","Jl. Cikarang Baru No.31 Cikarang Utara Bekasi",60,"10 jam",16,"10 jam",27,"10 jam","081219792097","32","3216",2021-07-12 18:51:06,"Non COVID-19"
"63","RS Umum Siloam","Jl. MH Thamrin Kav.105 Bekasi",15,"13 jam",14,"13 jam",15,"13 jam","02129636911","32","3216",2021-07-12 18:51:06,"Non COVID-19"
"64","RS Umum Daerah Kab.Bekasi"," Jl. Teuku Umar Cibitung,Bekasi",10,NA,12,NA,26,"13 jam","02188374444","32","3216",2021-07-12 18:51:06,"Non COVID-19"
