"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"3 menit",49,"3 menit",20,"3 menit","082198880051","11","1103",2021-08-16 19:09:56,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",16,"8 menit",35,"8 menit",28,"8 menit","085372458720","11","1114",2021-08-16 19:09:57,"Non COVID-19"
"3","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",26,NA,33,NA,29,NA,"081261466699","13","1307",2021-08-16 19:09:59,"Non COVID-19"
"4","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",21,"11 jam",10,"11 jam",41,"11 jam","081260809667","12","1208",2021-08-16 19:10:00,"Non COVID-19"
"5","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran",3,"10 jam",0,"10 jam",0,"10 jam","hotline tidak tersedia","12","1208",2021-08-16 19:10:00,"Non COVID-19"
"6","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",7,NA,8,NA,18,NA,"082398963833","12","1208",2021-08-16 19:10:00,"Non COVID-19"
"7","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-08-16 19:10:01,"Non COVID-19"
"8","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan",4,NA,1,NA,3,NA,"0361703270","51","5103",2021-08-16 19:10:01,"Non COVID-19"
"9","RS Umum Daerah Balangan ","Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan ",7,"7 jam",10,"7 jam",25,"7 jam","05262094039","63","6311",2021-08-16 19:10:01,"Non COVID-19"
"10","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",0,NA,14,NA,12,NA,"02287799430","32","3204",2021-08-16 19:10:02,"Non COVID-19"
"11","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang",9,"12 jam",18,"36 jam",29,"36 jam","0225891355","32","3204",2021-08-16 19:10:02,"Non COVID-19"
"12","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung",2,"11 jam",3,"11 jam",24,"11 jam","02286011220","32","3204",2021-08-16 19:10:02,"Non COVID-19"
"13","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek",3,"2 menit",7,"2 menit",14,"2 menit","0227798778","32","3204",2021-08-16 19:10:02,"Non COVID-19"
"14","RS Umum Bina Sehat ","Jl. Raya Dayeuhkolot No.325 Bandung",5,NA,1,NA,3,NA,"0225207963","32","3204",2021-08-16 19:10:02,"Non COVID-19"
"15","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622",13,NA,24,NA,33,NA,"0813-1656-0227","32","3204",2021-08-16 19:10:02,"Non COVID-19"
"16","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang",4,"10 jam",NA,NA,43,"10 jam","0222786879","32","3217",2021-08-16 19:10:02,"Non COVID-19"
"17","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah",2,NA,9,NA,12,NA,"0226866221","32","3217",2021-08-16 19:10:02,"Non COVID-19"
"18","RS Umum Daerah Cikalong Wetan","Jl. Padalarang - Purwakarta KM 11 Cikalong Wetan",NA,NA,NA,NA,37,"10 jam","022868666243","32","3217",2021-08-16 19:10:02,"Non COVID-19"
"19","RS Ibu dan Anak Kartini","Jl. Letkol GA Manulang No. 46 Padalarang Bandung Barat",4,NA,2,NA,5,NA,"hotline tidak tersedia","32","3217",2021-08-16 19:10:02,"Non COVID-19"
