"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"kurang dari 1 menit",49,"kurang dari 1 menit",20,"kurang dari 1 menit","082198880051","11","1103",2021-08-08 18:41:47,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",4,"40 menit",38,"40 menit",11,"40 menit","085372458720","11","1114",2021-08-08 18:41:48,"Non COVID-19"
"3","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor",6,"17 jam",19,"17 jam",48,"17 jam","082339126402","53","5307",2021-08-08 18:41:49,"Non COVID-19"
"4","RS Umum Mola","Jln. MASANG, RT 08 RW 04 KEL. WELAI TIMUR, KEC. TELUK MUTIARA, KAB. ALOR",NA,NA,NA,NA,1,"31 jam","08133864249","53","5307",2021-08-08 18:41:49,"Non COVID-19"
"5","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",17,"34 jam",10,"34 jam",31,"34 jam","081260809667","12","1208",2021-08-08 18:41:50,"Non COVID-19"
"6","RS Umum Sei Dadap","Jl. Protokol Sei Dadap-Sumut",5,"34 jam",18,"34 jam",13,"34 jam","082166064110","12","1208",2021-08-08 18:41:50,"Non COVID-19"
"7","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",3,NA,5,NA,12,NA,"082398963833","12","1208",2021-08-08 18:41:50,"Non COVID-19"
"8","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-08-08 18:41:50,"Non COVID-19"
"9","RS Umum Daerah Balangan ","Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan ",4,"41 jam",1,NA,9,"40 jam","05262094039","63","6311",2021-08-08 18:41:51,"Non COVID-19"
"10","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",3,NA,15,NA,20,NA,"02287799430","32","3204",2021-08-08 18:41:51,"Non COVID-19"
"11","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang",11,"35 jam",37,"35 jam",28,"35 jam","0225891355","32","3204",2021-08-08 18:41:51,"Non COVID-19"
"12","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung",2,"34 jam",2,"34 jam",24,"34 jam","02286011220","32","3204",2021-08-08 18:41:51,"Non COVID-19"
"13","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek",2,"1 menit",7,"1 menit",15,"1 menit","0227798778","32","3204",2021-08-08 18:41:51,"Non COVID-19"
"14","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622",19,NA,25,NA,33,NA,"0813-1656-0227","32","3204",2021-08-08 18:41:51,"Non COVID-19"
"15","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang",5,"9 jam",NA,NA,42,"9 jam","0222786879","32","3217",2021-08-08 18:41:51,"Non COVID-19"
"16","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah",2,NA,8,NA,13,NA,"0226866221","32","3217",2021-08-08 18:41:51,"Non COVID-19"
"17","RS Umum Daerah Cikalong Wetan","Jl. Padalarang - Purwakarta KM 11 Cikalong Wetan",NA,NA,NA,NA,41,"8 jam","022868666243","32","3217",2021-08-08 18:41:51,"Non COVID-19"
"18","RS Ibu dan Anak Kartini","Jl. Letkol GA Manulang No. 46 Padalarang Bandung Barat",4,NA,3,NA,6,NA,"hotline tidak tersedia","32","3217",2021-08-08 18:41:51,"Non COVID-19"
"19","RS Ibu dan Anak Graha Medika Padalarang","Jl. Raya Padalarang Ruko Padalarang Point No. 527 ",7,NA,6,NA,8,NA,"02287785998","32","3217",2021-08-08 18:41:51,"Non COVID-19"
"20","RS Jiwa Provinsi Jawa Barat","Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat",4,"10 jam",18,"10 jam",42,"10 jam","0222700909","32","3217",2021-08-08 18:41:51,"Non COVID-19"
"21","RS Umum Cahya Kawaluyan","Jl. Parahyangan KM. 3 - Kota Baru Parahyangan Kec. Padalarang KBB",4,NA,3,NA,22,NA,"0226803700","32","3217",2021-08-08 18:41:51,"Non COVID-19"
"22","RS Umum Daerah Kabupaten Banggai ","Jl. Imam Bonjol KM 3 No. 14 Luwuk",28,"34 jam",36,"34 jam",88,"34 jam","046121820","72","7202",2021-08-08 18:41:51,"Non COVID-19"
"23","RS Umum Daerah Depati Bahrin","Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung",18,"1 menit",11,"1 menit",20,"1 menit","071792489","19","1901",2021-08-08 18:41:52,"Non COVID-19"
"24","RS  Jiwa Sungai Liat","Jl. Jend Sudirman No. 345 Kel. Parit Padang Kec. Sungai Liat ",3,"34 jam",10,"34 jam",62,"34 jam","081368334999","19","1901",2021-08-08 18:41:52,"Non COVID-19"
"25","RS Umum Daerah Sjafrie Rachman Puding Besar","Jl. Raya Sungailiat Mentok Desa Puding Besar kecamatan Puding Besar ",NA,NA,NA,NA,0,NA,"081398430909","19","1901",2021-08-08 18:41:52,"Non COVID-19"
"26","RS Umum Daerah Syarifah Ambami Rato Ebu","  Jl. Pemuda Kaffa No. 9 Bangkalan",7,"33 jam",5,"33 jam",31,"33 jam","0313095088","35","3526",2021-08-08 18:41:52,"Non COVID-19"
"27","RS Umum Daerah Kabupaten Bangli"," Jl. Brigjen Ngurah Rai No. 99X Bangli",9,"10 jam",7,NA,29,NA,"036691521","51","5106",2021-08-08 18:41:53,"Non COVID-19"
"28","RS Umum Bangli Medika Canti","Jl. Tirta Giri Kutri, LC Subak Aya, Bebalang",0,"33 jam",3,"33 jam",0,"33 jam","036691555","51","5106",2021-08-08 18:41:53,"Non COVID-19"
"29","RS Umum Daerah Ratu Zalecha","Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan",31,NA,54,NA,60,NA,"05114789455","63","6303",2021-08-08 18:41:53,"Non COVID-19"
"30","RS Umum Emmanuel","Jl. Raya Purwareja Klampok - Banjarnegara",14,NA,14,NA,42,NA,"(0286) 479030","33","3304",2021-08-08 18:41:53,"Non COVID-19"
"31","RS Umum Daerah Prof. Dr. H. Anwar Makkatutu","Jl. Teratai No. 20 Kel. Pallantikang, Kec. Bantaeng",16,NA,20,NA,54,NA,"hotline tidak tersedia","73","7303",2021-08-08 18:41:53,"Non COVID-19"
"32","RS Umum Daerah Panembahan Senopati","Jl Dr. Wahidin Sudiro Husodo Bantul",5,NA,9,NA,47,NA,"hotline tidak tersedia","34","3402",2021-08-08 18:41:53,"Non COVID-19"
"33","RS Umum Santa Elisabeth","Ganjuran Sumbermulyo Bambanglipuro",2,NA,1,NA,6,NA,"02746460400","34","3402",2021-08-08 18:41:53,"Non COVID-19"
"34","RS Ibu Anak Ummi Khasanah","Jl Pemuda Ds Gandekan Bantul",1,"40 menit",0,"40 menit",0,"40 menit","0274367638","34","3402",2021-08-08 18:41:53,"Non COVID-19"
"35","RS Umum Nur Hidayah","Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul",3,"39 menit",6,"39 menit",30,"39 menit","085100472941","34","3402",2021-08-08 18:41:53,"Non COVID-19"
"36","RS Umum Griya Mahardika Yogyakarta","jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta",9,"40 menit",3,"40 menit",NA,NA,"0274445024","34","3402",2021-08-08 18:41:53,"Non COVID-19"
"37","RS Umum Daerah Banyuasin","Jl. Raya Palembang - Betung Km.48,Pangkalan Balai Banyuasin",15,"33 jam",13,"33 jam",29,"33 jam","0711891647","16","1607",2021-08-08 18:41:54,"Non COVID-19"
"38","RS Bunda Medika Jakabaring","Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan",14,NA,17,NA,21,NA,"085384532735","16","1607",2021-08-08 18:41:54,"Non COVID-19"
"39","RS Umum Pusat Dr. Rivai Abdullah","Jl. Sungai Kundur Kelurahan Mariana Kec. Banyuasin I ",8,"57 menit",10,"57 menit",47,"57 menit","07117537201","16","1607",2021-08-08 18:41:54,"Non COVID-19"
"40","RS umum Daerah Banyumas","Jl. Rumah Sakit No.1 Banyumas",9,"37 jam",14,"12 jam",33,"12 jam","0281796031","33","3302",2021-08-08 18:41:54,"Non COVID-19"
"41","RS Khusus Bedah Jatiwinangun"," Jl. Jatiwinangun No.54, Purwokerto",5,NA,7,NA,14,NA,"0281632632","33","3302",2021-08-08 18:41:54,"Non COVID-19"
"42","RS Ibu dan Anak Amanah","Jl Raya Kebokura No.37 Kec Sumpiuh Kab Banyumas",2,"3 menit",6,"3 menit",1,"3 menit","0282497548","33","3302",2021-08-08 18:41:54,"Non COVID-19"
"43","RS Umum Islam Purwokerto","Jl. H. Masyuri Rejasari No 39 Purwokerto",3,"3 menit",3,"3 menit",7,"3 menit","0281630019","33","3302",2021-08-08 18:41:54,"Non COVID-19"
"44","RS Umum Daerah Ajibarang","    Jl. Raya Pancasan No.1,Ajibarang Banyumas",9,"12 jam",18,"12 jam",37,"11 jam","02816570004","33","3302",2021-08-08 18:41:54,"Non COVID-19"
"45","RS Umum Daerah Blambangan","  Jl. Letkol Istiqlah No. 49 Banyuwangi",14,"11 jam",25,"11 jam",60,"11 jam","0333421118 ","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"46","RS Yasmin","Jl. Letkol Istiqlah Nomor 80-84 Banyuwangi",0,"35 jam",0,"35 jam",5,"35 jam","0333424671","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"47","RS Nahdlatul Ulama Banyuwangi","Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi",4,"33 jam",3,"33 jam",4,"33 jam","0333632965","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"48","RS Al Huda ","Jl. Raya Gambiran No. 225, Desa Gambiran, Kec. Gambiran, Kab. Banyuwangi",8,"13 jam",16,NA,20,"13 jam","0333842034","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"49","RS Umum PKU Muhammadiyah Rogojampi","Jalan Diponegoro Nomor 20 Rogojampi, Kab. Banyuwangi",10,NA,19,NA,27,NA,"0333631149","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"50","RS Ibu dan Anak Abdhi Famili","Jl. Diponegoro No. 5 Wringinrejo RT 005 / RW 005 Gambiran Banyuwangi",2,"40 jam",4,"40 jam",8,"40 jam","082337503418","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"51","RS Al-Rohmah Banyuwangi","Jl. A. Yani No. 37 Jajag Gambiran, Banyuwangi",5,NA,14,"40 menit",12,NA,"0333397267","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"52","RS Ibu dan Anak Rahayu Medika","Jl. Pekulo-Sukomukti No.09, Kebaman, Srono, Banyuwangi",NA,NA,3,NA,21,NA,"0333911542","35","3510",2021-08-08 18:41:54,"Non COVID-19"
"53","RS Umum Batara Siang","  Jl. Sultan Hasanudin 7 Pangkajene",55,"36 jam",22,"36 jam",21,"36 jam","0811415118","73","7310",2021-08-08 18:41:56,"Non COVID-19"
"54","RS Umum Qim","Jl. Urip Sumoharjo, Sambong",0,NA,2,NA,7,NA,"02854495222","33","3325",2021-08-08 18:41:56,"Non COVID-19"
"55","RS Umum Daerah Limpung","Jl. Dr. Soetomo No. 17A Limpung 51271",9,NA,NA,NA,NA,NA,"02854468362","33","3325",2021-08-08 18:41:56,"Non COVID-19"
"56","RS Umum Daerah Haji Abdoel Madjid Batoe","Jl. Prof. Dr. Sri Soedewi  Muara Bulian",21,"32 jam",9,"32 jam",58,"32 jam","074321043","15","1504",2021-08-08 18:41:56,"Non COVID-19"
"57","RS Umum Annisa","Jl. Cikarang Baru No.31 Cikarang Utara Bekasi",56,"35 jam",9,"35 jam",25,"35 jam","081219792097","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"58","Siloam Hospitals Lippo Cikarang","Jl. MH Thamrin Kav.105 Bekasi",8,"13 jam",17,"13 jam",14,"13 jam","02129636911","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"59","RS Umum Daerah Kab.Bekasi"," Jl. Teuku Umar Cibitung,Bekasi",8,NA,19,NA,31,"11 jam","02188374444","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"60","RS Amanda Cikarang Selatan","Jl. Raya Serang No. 83 Desa Sukadami Cikarang Selatan Kab. Bekasi",10,NA,11,NA,12,NA,"0218971643","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"61","RS Umum Dokter Adam Talib","JL. TEUKU UMAR NO. 25 CIKARANG BARAT",NA,NA,NA,NA,NA,NA,"082112767778","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"62","RS Umum Cibitung Medika","Jl. H. Bosih No.117 Cibitung Kabupaten Bekasi",8,NA,8,NA,16,NA,"02188323444","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"63","RS Mitra Medika Narom","Jl. Desa Jatiwangi Cikedokan Kp. Kamurang",6,"36 jam",5,"36 jam",47,"36 jam","02189983741","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"64","RS Uni Medika Setu Bekasi","Jl. Raya setu No.99 Desa Lubang Buaya Kec. Setu",5,NA,5,NA,18,NA,"085891000553","32","3216",2021-08-08 18:41:57,"Non COVID-19"
"65","RS Umum Kartika Husada Setu","Jl. Raya Burangkeng Desa Burangkeng Rt. 001 Rw.06 Kec. Setu",9,NA,6,NA,36,NA,"02182610003","32","3216",2021-08-08 18:41:57,"Non COVID-19"
