"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"1 menit",49,"1 menit",20,"1 menit","082198880051","11","1103",2021-08-12 22:22:48,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",2,"21 menit",31,"21 menit",18,"21 menit","085372458720","11","1114",2021-08-12 22:22:48,"Non COVID-19"
"3","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",29,NA,33,NA,33,NA,"081261466699","13","1307",2021-08-12 22:22:49,"Non COVID-19"
"4","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor",6,"36 jam",19,"36 jam",47,"36 jam","082339126402","53","5307",2021-08-12 22:22:49,"Non COVID-19"
"5","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",16,"14 jam",NA,NA,20,"14 jam","081260809667","12","1208",2021-08-12 22:22:50,"Non COVID-19"
"6","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran",5,"12 jam",13,"12 jam",6,"12 jam","hotline tidak tersedia","12","1208",2021-08-12 22:22:50,"Non COVID-19"
"7","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",5,NA,9,NA,22,NA,"082398963833","12","1208",2021-08-12 22:22:50,"Non COVID-19"
"8","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-08-12 22:22:50,"Non COVID-19"
"9","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan",4,NA,2,NA,3,NA,"0361703270","51","5103",2021-08-12 22:22:50,"Non COVID-19"
"10","RS Umum Daerah Balangan ","Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan ",7,"18 jam",8,"18 jam",18,"18 jam","05262094039","63","6311",2021-08-12 22:22:50,"Non COVID-19"
