"","hospital","address","bed_availability","queue","last_update","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Cut Nyak Dhien","Jl. Gajah Mada Meulaboh ","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","15 jam","081260111008","11","1107",2021-08-23 00:08:44,"COVID-19"
"2","RS Umum Daerah Teungku Peukan","Jl. Nasional padang Meurante Kecamatan Susoh","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","12 jam","082275566906","11","1112",2021-08-23 00:08:44,"COVID-19"
"3","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","10 jam","082198880051","11","1103",2021-08-23 00:08:45,"COVID-19"
"4","RS Umum Bunda Mulia","Jl. Abdi Setia Bakti Kel. Sei Renggas Kec. Kota Kisaran Barat","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","081264299098","12","1208",2021-08-23 00:08:48,"COVID-19"
"5","RS Umum Setio Husodo","Jl SM. Raja No.67 Kisaran","Bed IGD Penuh!","tanpa antrian pasien.","15 jam","08576868040","12","1208",2021-08-23 00:08:48,"COVID-19"
"6","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","2 jam","0361703270","51","5103",2021-08-23 00:08:49,"COVID-19"
"7","RS Daerah Mangusada","Jl. Raya Kapal Mengwi, Badung ","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","3 jam","03619006813","51","5103",2021-08-23 00:08:49,"COVID-19"
"8","RS Umum Surya Husadha Nusa Dua","Jl. Siligita Blok I No 14, Nusa Dua, Kuta Selatan","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","6 jam","0361775827","51","5103",2021-08-23 00:08:49,"COVID-19"
"9","RS Umum Siloam Bali","Jl. Sunset Road No. 818 Kel. Kuta, Kec Kuta","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","7 jam","0361779900","51","5103",2021-08-23 00:08:49,"COVID-19"
"10","RS Bali Jimbaran","Jl. Kampus Unud No. 52 ","Bed IGD Penuh!","tanpa antrian pasien.","5 jam","03614725123","51","5103",2021-08-23 00:08:49,"COVID-19"
"11","RS Umum Daerah Balangan ","Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan ","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","15 jam","05262094039","63","6311",2021-08-23 00:08:49,"COVID-19"
"12","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","1 jam","0227798778","32","3204",2021-08-23 00:08:50,"COVID-19"
"13","RS Umum Daerah Majalaya","Jl. Raya Cipaku No.87 Majalaya Kabupaten Bandung","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","2 jam","0225950035","32","3204",2021-08-23 00:08:50,"COVID-19"
"14","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","3 jam","0813-1656-0227","32","3204",2021-08-23 00:08:50,"COVID-19"
"15","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung","Tersedia 28 bed kosong IGD","tanpa antrian pasien.","4 jam","02287799430","32","3204",2021-08-23 00:08:50,"COVID-19"
"16","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","4 jam","0225891355","32","3204",2021-08-23 00:08:50,"COVID-19"
"17","RS Umum Daerah Cicalengka","  Jl. H. Darham No.35 - Cikopo, Cicalengka Kab. Bandung ","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","12 jam","0227949734","32","3204",2021-08-23 00:08:50,"COVID-19"
"18","RS Umum Karya Pangalengan Bhakti Sehat","Jl. Raya Pangalengan No. 340 Pangalengan","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","15 jam","082130781625","32","3204",2021-08-23 00:08:50,"COVID-19"
"19","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung","Bed IGD Penuh!","tanpa antrian pasien.","8 jam","02286011220","32","3204",2021-08-23 00:08:50,"COVID-19"
"20","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","3 jam","0226866221","32","3217",2021-08-23 00:08:50,"COVID-19"
"21","RS Umum Cahya Kawaluyan","Jl. Parahyangan KM. 3 - Kota Baru Parahyangan Kec. Padalarang KBB","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","3 jam","0226803700","32","3217",2021-08-23 00:08:50,"COVID-19"
"22","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","7 jam","0222786879","32","3217",2021-08-23 00:08:50,"COVID-19"
"23","RS Jiwa Provinsi Jawa Barat","Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","14 jam","0222700909","32","3217",2021-08-23 00:08:50,"COVID-19"
"24","RS Umum Daerah Cililin","Jl. Blok Cinta Karya Desa Cililin Kecamatan Cililin Kabupaten Bandung Barat","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","15 jam","082216236728","32","3217",2021-08-23 00:08:50,"COVID-19"
"25","RS Umum Daerah Cikalong Wetan","Jl. Padalarang - Purwakarta KM 11 Cikalong Wetan","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","16 jam","022868666243","32","3217",2021-08-23 00:08:50,"COVID-19"
"26","RS Umum Daerah Kabupaten Banggai ","Jl. Imam Bonjol KM 3 No. 14 Luwuk","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","11 jam","046121820","72","7202",2021-08-23 00:08:51,"COVID-19"
"27","RS Umum Daerah Trikora Salakan","Jl. Trans Peling KM. 5 No. 1 Salakan","Bed IGD Penuh!","tanpa antrian pasien.","17 jam","082188611244","72","7201",2021-08-23 00:08:51,"COVID-19"
"28","RS Umum Daerah Banggai","Jl. KM 7.Adean Kabupaten Banggai Laut","Tersedia 9 bed kosong IGD","tanpa antrian pasien.","17 jam","085394566701","72","7211",2021-08-23 00:08:51,"COVID-19"
"29","RS Umum Daerah Depati Bahrin","Jl. Jend Sudirman No.195, Kel.Parit Padang Kec.Sungailiat Propinsi Kepulauan Bangka Belitung","Bed IGD Penuh!","tanpa antrian pasien.","33 menit","071792489","19","1901",2021-08-23 00:08:51,"COVID-19"
"30","RS Umum Medika Stannia","Jl. Jend. Sudirman No. 03, Kel. Sungailiat Kec. Sungailiat","Bed IGD Penuh!","tanpa antrian pasien.","16 jam","085268691386","19","1901",2021-08-23 00:08:51,"COVID-19"
"31","RS Umum Bakti Timah Muntok","Jl. Raya Komplek Unmet Muntok","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","15 jam","071621009","19","1903",2021-08-23 00:08:52,"COVID-19"
"32","RS Umum Daerah Sejiran Setason","Jl. Kadur Dalam, Ds Belo Laut Kecamatan Muntok","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","15 jam","08117117783","19","1903",2021-08-23 00:08:52,"COVID-19"
"33","RS Umum Daerah Kab.Bangka Tengah","Jl. By Pass No 01 Kec.Koba,Kab. Bangka Tengah","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","15 jam","085383884511","19","1904",2021-08-23 00:08:52,"COVID-19"
"34","RS Bhayangkara Polda Kep. Bangka Belitung","Jl. Telaga Biru No. 1 Padang Baru","Bed IGD Penuh!","tanpa antrian pasien.","2 jam","hotline tidak tersedia","19","1904",2021-08-23 00:08:52,"COVID-19"
"35","RS Umum Daerah Syarifah Ambami Rato Ebu","  Jl. Pemuda Kaffa No. 9 Bangkalan","Tersedia 12 bed kosong IGD","tanpa antrian pasien.","7 jam","0313095088","35","3526",2021-08-23 00:08:53,"COVID-19"
"36","RS Jiwa Provinsi Bali","Jl.Kusuma Yudha No. 29 Bangli","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","4 jam","036691073","51","5106",2021-08-23 00:08:53,"COVID-19"
"37","RS Umum Bangli Medika Canti","Jl. Tirta Giri Kutri, LC Subak Aya, Bebalang","Bed IGD Penuh!","tanpa antrian pasien.","10 jam","036691555","51","5106",2021-08-23 00:08:53,"COVID-19"
"38","RS Umum Daerah Kabupaten Bangli"," Jl. Brigjen Ngurah Rai No. 99X Bangli","Bed IGD Penuh!","dengan antrian 3 pasien","4 jam","036691521","51","5106",2021-08-23 00:08:53,"COVID-19"
"39","RS Umum Ciputra Mitra Hospital","Jl A. Yani Km 7,8 Komplek Perumahan Citra Land Banjarmasin Kalimantan Selatan","Bed IGD Penuh!","tanpa antrian pasien.","6 jam","05116743999","63","6303",2021-08-23 00:08:54,"COVID-19"
"40","RS Umum Daerah Ratu Zalecha","Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan","Bed IGD Penuh!","tanpa antrian pasien.","16 jam","05114789455","63","6303",2021-08-23 00:08:54,"COVID-19"
"41","RS Umum Daerah Hj. Anna Lasmanah Banjarnegara","Jl. Jendral Sudirman  No.42 Banjarnegara","Tersedia 15 bed kosong IGD","tanpa antrian pasien.","4 jam","0286591464","33","3304",2021-08-23 00:08:54,"COVID-19"
"42","RS Umum Islam Banjarnegara","Jl Raya Bawang KM 9 Banjarnegara","Tersedia 24 bed kosong IGD","tanpa antrian pasien.","4 jam","02865988848","33","3304",2021-08-23 00:08:54,"COVID-19"
"43","RS Umum Emmanuel","Jl. Raya Purwareja Klampok - Banjarnegara","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","5 jam","(0286) 479030","33","3304",2021-08-23 00:08:54,"COVID-19"
"44","RS Umum PKU Muhammadiyah Banjarnegara","Jl. Raya Banjarnegara Banyumas KM. 18 Danaraja Purwanegara Banjarnegara","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","9 jam","0286411598","33","3304",2021-08-23 00:08:54,"COVID-19"
"45","RS Umum Daerah Prof. Dr. H. Anwar Makkatutu","Jl. Teratai No. 20 Kel. Pallantikang, Kec. Bantaeng","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","hotline tidak tersedia","73","7303",2021-08-23 00:08:54,"COVID-19"
"46","RS Ibu Anak Ummi Khasanah","Jl Pemuda Ds Gandekan Bantul","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","1 jam","0274367638","34","3402",2021-08-23 00:08:54,"COVID-19"
"47","RS Lapangan Khusus Covid-19 Kab. Bantul","Jl. Samas KM 19 Dusun Selo Desa Sidomulyo Kec. Bambanglipuro ","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","1 jam","hotline tidak tersedia","34","3402",2021-08-23 00:08:54,"COVID-19"
"48","RS Umum Griya Mahardika Yogyakarta","jl. Parangtritis KM 4.5 gang Wijayakusuma No 212 Yogyakarta","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","3 jam","0274445024","34","3402",2021-08-23 00:08:54,"COVID-19"
"49","RSU PKU Muhammadiyah Bantul","Jl Jenderal Sudirman 124 Bantul","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","4 jam","0274367437","34","3402",2021-08-23 00:08:54,"COVID-19"
"50","RS Umum Daerah Panembahan Senopati","Jl Dr. Wahidin Sudiro Husodo Bantul","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","4 jam","hotline tidak tersedia","34","3402",2021-08-23 00:08:54,"COVID-19"
"51","RS Paru Respira","Jl Panembahan Senopati No 4, Palbapang, Bantul, Yogyakarta","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","13 jam","0274367326","34","3402",2021-08-23 00:08:54,"COVID-19"
"52","RS Rajawali Citra ","Jl Pleret Km.2,5, Banjardadap Potorono Banguntapan Bantul ","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","15 jam","02744435620","34","3402",2021-08-23 00:08:54,"COVID-19"
"53","RS Umum Permata Husada","Jl Pleret-Kotagede Km. 4  Kauman Pleret","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","17 jam","hotline tidak tersedia","34","3402",2021-08-23 00:08:54,"COVID-19"
"54","RS Umum Nur Hidayah","Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul","Bed IGD Penuh!","tanpa antrian pasien.","1 jam","085100472941","34","3402",2021-08-23 00:08:54,"COVID-19"
"55","RS Umum Rachma Husada "," Jl Parantritis Km.16 Gerselo Patalan Jetis Bantul ","Bed IGD Penuh!","tanpa antrian pasien.","9 jam","02746460089","34","3402",2021-08-23 00:08:54,"COVID-19"
"56","RSPAU Dr.  Suhardi Harjolukito","         Jl. Raya Janti Blok O Yogyakarta","Bed IGD Penuh!","tanpa antrian pasien.","10 jam","0274444702","34","3402",2021-08-23 00:08:54,"COVID-19"
"57","RS Khusus Ibu dan Anak Kahyangan","Jl Tinosidin No 390 Cebongan Ngestiharjo Kasihan Bantul","Bed IGD Penuh!","tanpa antrian pasien.","17 jam","hotline tidak tersedia","34","3402",2021-08-23 00:08:54,"COVID-19"
"58","RS Umum Santa Elisabeth","Ganjuran Sumbermulyo Bambanglipuro","Bed IGD Penuh!","dengan antrian 1 pasien","30 menit","02746460400","34","3402",2021-08-23 00:08:54,"COVID-19"
"59","RS Umum Pusat Dr. Rivai Abdullah","Jl. Sungai Kundur Kelurahan Mariana Kec. Banyuasin I ","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","1 jam","07117537201","16","1607",2021-08-23 00:08:55,"COVID-19"
"60","RS Bunda Medika Jakabaring","Jl. Gubernur H.A. Bastari Jakabaring Desa Sungai Kedukan Kecamatan Rambutan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","17 jam","085384532735","16","1607",2021-08-23 00:08:55,"COVID-19"
"61","RS Hermina OPI Jakabaring","Jl. Gub H A Bastari RT 026 Dusun II Desa Sungai Kedukan Kec Rambutan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","17 jam","081133305811","16","1607",2021-08-23 00:08:55,"COVID-19"
"62","RS Umum Medika Lestari Banyumas","Jl. Raya Nasional Pageralang RT 03 RW 03 Kemranjen Banyumas","Tersedia 15 bed kosong IGD","tanpa antrian pasien.","52 menit","02825291299","33","3302",2021-08-23 00:08:55,"COVID-19"
"63","RS Umum Islam Purwokerto","Jl. H. Masyuri Rejasari No 39 Purwokerto","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","52 menit","0281630019","33","3302",2021-08-23 00:08:55,"COVID-19"
"64","RS Umum Daerah Ajibarang","    Jl. Raya Pancasan No.1,Ajibarang Banyumas","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","2 jam","02816570004","33","3302",2021-08-23 00:08:55,"COVID-19"
