"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"3 menit",49,"3 menit",20,"2 menit","082198880051","11","1103",2021-07-25 22:16:55,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",4,"15 menit",39,"15 menit",23,"15 menit","085372458720","11","1114",2021-07-25 22:16:55,"Non COVID-19"
"3","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",33,NA,31,NA,17,NA,"081261466699","13","1307",2021-07-25 22:16:56,"Non COVID-19"
"4","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor",6,"37 jam",7,"37 jam",38,"37 jam","082339126402","53","5307",2021-07-25 22:16:56,"Non COVID-19"
"5","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",15,"37 jam",8,"37 jam",37,"37 jam","081260809667","12","1208",2021-07-25 22:16:56,"Non COVID-19"
"6","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",9,NA,8,NA,14,NA,"082398963833","12","1208",2021-07-25 22:16:56,"Non COVID-19"
"7","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-07-25 22:16:56,"Non COVID-19"
"8","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan",6,NA,4,NA,4,NA,"0361703270","51","5103",2021-07-25 22:16:56,"Non COVID-19"
"9","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",10,NA,16,NA,10,NA,"02287799430","32","3204",2021-07-25 22:16:57,"Non COVID-19"
"10","RS Umum Daerah Soreang"," Jl. Alun-Alun Utara No. 1 Soreang",11,"17 jam",38,"17 jam",37,"15 jam","0225891355","32","3204",2021-07-25 22:16:57,"Non COVID-19"
"11","RS Unggul Karsa Medika","Jl. Taman Kopo Indah III Blok H No. 1, Desa MekarRahayu, Kecamatan MargaAsih, Kabupaten Bandung",2,"38 jam",3,"38 jam",28,"38 jam","02286011220","32","3204",2021-07-25 22:16:57,"Non COVID-19"
"12","RS Umum Daerah Kesehatan Kerja","Jl. Raya Rancaekek KM. 27 NO. 612 Desa Nanjungmekar Kec. Rancaekek",4,"kurang dari 1 menit",6,"kurang dari 1 menit",12,"kurang dari 1 menit","0227798778","32","3204",2021-07-25 22:16:57,"Non COVID-19"
"13","RS Umum AMC ","Jl. Raya Cileunyi No.1, Cileunyi Wetan, Cileunyi, Bandung, Jawa Barat 40622",21,NA,24,NA,32,NA,"0813-1656-0227","32","3204",2021-07-25 22:16:57,"Non COVID-19"
"14","RS Umum Daerah Lembang","Jl. Raya Lembang KM.11,4 No.11 Desa Gudang Kahuripan Kec. Lembang",5,"12 jam",NA,NA,48,"12 jam","0222786879","32","3217",2021-07-25 22:16:57,"Non COVID-19"
"15","RS Karisma Cimareme","Jl. Raya Cimareme No. 235 RT. 03 RW. 01 Kec.Ngamprah",2,NA,12,NA,10,NA,"0226866221","32","3217",2021-07-25 22:16:57,"Non COVID-19"
"16","RS Jiwa Provinsi Jawa Barat","Jl. Kolonel Masturi KM 7 Cisarua - Bandung Barat",0,"12 jam",15,"12 jam",29,"12 jam","0222700909","32","3217",2021-07-25 22:16:57,"Non COVID-19"
"17","RS Umum Cahya Kawaluyan","Jl. Parahyangan KM. 3 - Kota Baru Parahyangan Kec. Padalarang KBB",0,NA,10,NA,31,NA,"0226803700","32","3217",2021-07-25 22:16:57,"Non COVID-19"
"18","RS Umum Daerah Kabupaten Banggai ","Jl. Imam Bonjol KM 3 No. 14 Luwuk",26,"37 jam",34,"37 jam",64,"37 jam","046121820","72","7202",2021-07-25 22:16:57,"Non COVID-19"
