"","hospital","address","bed_class1","last_update_class1","bed_class2","last_update_class2","bed_class3","last_update_class3","tlp_number","province","district","scraped_at","bed_type"
"1","RS Umum Daerah Dr. H. Yulidin Away","Jl. T. Ben Mahmud Nomor 86 A Tapaktuan",42,"kurang dari 1 menit",49,"kurang dari 1 menit",20,"kurang dari 1 menit","082198880051","11","1103",2021-08-11 22:01:57,"Non COVID-19"
"2","RS Umum Daerah Tamiang","Jl. Kesehatan Kab.Aceh Tamiang ",8,"kurang dari 1 menit",41,"kurang dari 1 menit",28,"kurang dari 1 menit","085372458720","11","1114",2021-08-11 22:01:58,"Non COVID-19"
"3","RS Umum Daerah dr. Zubir Mahmud","Jl. Medan-Banda Aceh Km. 372 Desa Seuneubok Barat Kec.Idi timur Kab.Aceh timur",0,NA,0,NA,37,NA,"064621139","11","1105",2021-08-11 22:02:01,"Non COVID-19"
"4","RS Umum Daerah Lubuk Basung","Jl. M.Hatta Padang Baru,Lubuk Basung",25,NA,34,NA,17,NA,"081261466699","13","1307",2021-08-11 22:02:02,"Non COVID-19"
"5","RS Daerah Kalabahi","Jl. Dr Sutomo Kalabahi Kab. Alor",6,"12 jam",19,"12 jam",47,"12 jam","082339126402","53","5307",2021-08-11 22:02:02,"Non COVID-19"
"6","RS Umum Daerah H. Abdul Manan Simatupang","Jl. Sisingamangaraja No. 310 Kisaran",21,"38 jam",11,"38 jam",25,"38 jam","081260809667","12","1208",2021-08-11 22:02:02,"Non COVID-19"
"7","RS Umum Ibu Kartini","Jl Syech Silau Rengas Kisaran",3,"35 jam",14,"35 jam",10,"35 jam","hotline tidak tersedia","12","1208",2021-08-11 22:02:02,"Non COVID-19"
"8","RS Umum Wira Husada","Jl Kartini Nomor 209 Kisaran",5,NA,9,NA,22,NA,"082398963833","12","1208",2021-08-11 22:02:02,"Non COVID-19"
"9","RS Khusus Bedah BIMC","Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",NA,NA,NA,NA,NA,NA,"0361761263","51","5103",2021-08-11 22:02:02,"Non COVID-19"
"10","RS Umum Kasih Ibu Kedonganan","Jl. Uluwatu No. 69 Kedonganan",4,NA,2,NA,3,NA,"0361703270","51","5103",2021-08-11 22:02:02,"Non COVID-19"
"11","RS Umum Daerah Balangan ","Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan ",10,"20 jam",9,"20 jam",17,"20 jam","05262094039","63","6311",2021-08-11 22:02:03,"Non COVID-19"
"12","RS Umum Daerah Al Ihsan Provinsi Jawa Barat","  Jl. Ki Astramanggala Bale Endah Kab. Bandung",7,NA,8,NA,20,NA,"02287799430","32","3204",2021-08-11 22:02:03,"Non COVID-19"
